nro,rnt,nombre_comercial,direccion,telefono,localidad,servicio_a_domicilio,telefono_a_domicilio,pagina_web
100,16928,Sopas de Mamá y Postres de la Abuela - sucursal salitre,Avenida El Dorado No 68C - 61 Local 1-24,658 48 89 -,Fontibón,NR,NA,www.sopasypostres.com.co
190,25766,Hamburguesas el Corral Quinta de Bolívar,Calle 19 A No 04 - 08 Este,NR,Candelaria,No,NA,www.elcorral.com
167,23891,La Romana Carrera 7,Carrera 7 No 19 - 48,283 27 30 -,Santafé,NR,NA,www.laromana.com.co
286,29954,Diner Unicentro,Avenida 15 No 123 - 30 Local 2 142,213 02 45 -,Usaquén,Sí,213 02 45,NR
137,21935,La Plaza De Andrés,Calle 82 No 12  -  21,863 78 80 -,Chapinero,No,NA,www.andrescarnederes.com
99,16927,Sopas de Mamá y Postres de la Abuela Sucursal el Retiro,Carrera 9 No 81 A - 09,658 48 90 -,Chapinero,NR,NA,www.sopasypostres.com.co
36,14486,Archies Quinta Camacho,Calle 69 A No 10 - 03,321 23 04 -,Chapinero,Sí,605 05 05,www.archies.co
61,14665,Cotidiano Café Brasserie,Centro Comercial Andino Plaza Carrera 11 No 82 - 71 Local 402,654 54 54 -,Chapinero,Sí,654 54 54,www.elcotidiano.com.co
84,15016,Oma Café Restaurante Bogotá Andino,Centro Comercial Andino Plaza Carrera 11 No 82 - 71 Local 347,NR,Chapinero,NR,NA,http://173.254.122.220/
122,19916,Diana García Chef en Movimiento,Carrera 7 No 70 - 94,235 68 05 - 321 34 31,Chapinero,Sí,235 68 05,www.restaurantedianagarcia.com
348,32846,Mercado Cocina Local Sabor Consciente,Calle 93 A No 12 - 73,236 25 00 -,Chapinero,NR,NA,www.mcdonalds.com.co
199,26318,Hamburguesas el Corral Santafé,Centro Comercial Santafé Calle 185 No 45 - 03 Local 381,NR,Usaquén,No,NA,www.elcorral.com
37,14490,Archies Calle 71,Calle 71 No 4 - 55,235 11 74 - 545 10 33,Chapinero,Sí,605 05 05,www.archies.co
355,33068,Hamburguesas el Corral Calle 85,Calle 85 No 13 - 77,NR,Chapinero,No,NA,www.elcorral.com
106,17692,Hamburguesas el Corral La Candelaria,Calle 11 No 2 - 16,NR,Candelaria,No,NA,www.elcorral.com
180,25621,Restaurantes Brasa Brasil,Calle 118 No 19  12,214 20 25 - 214 80 64,Usaquén,No,NA,www.brasabrasil.com
20,14354,Hamburguesas el Corral Texaco 1,Carrera 7 No 69 - 26,NR,Chapinero,No,NA,www.elcorral.com
139,22089,Marfalitos,Calle 12 No 7 - 32 Piso 4,334 19 26 - 282 39 21,Candelaria,Sí,334 19 26,NR
115,19008,Osaki,Calle 71 No 5 - 10,NR,Chapinero,Sí,644 77 77,www.osaki.com.co
170,24254,Galeria Café Libro Restaurante Bar,Carrera 11 A No 93 - 42,218 34 35 -,Chapinero,NR,NA,www.galeriacafelibro.com.co
316,30769,PPC Pollo; Pizza; Carne,Centro Comercial Calima Avenida Calle 19 No 28 - 10 Local 28,487 82 01 -,Los Mártires,Sí,359 91 00,www.ppc.com.co
79,14893,Taqueria Calle 116,Calle 116 No 15 - 44 LC 2,616 76 71 - 616 75 68,Chapinero,NR,NA,NR
309,30618,Mc Donalds Calle 72,Carrera 9 No 71 - 31/35,653 80 00 -,Chapinero,NR,NA,www.mcdonalds.com.co
108,17881,El Pórtico,Kilometro 19 Autopista Norte,676 01 39 - 676 07 52,NA,NR,NA,www.elportico.com.co
239,26767,El Gato Gris,Carrera 1A No 12 B  - 12,342 17 16 -,Candelaria,NR,NA,www.gatogris.com
179,25608,Papa Jhons USAQUEN,Calle 121 No 6 -11,NR,Usaquén,NR,NA,www.papajohns.com.co
151,22604,Amarti,Calle 119 No 6 - 24,214 90 17 - 214 9184,Usaquén,Sí,214 90 17,NR
292,30006,El Carnal,Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 51 Local  2114,NR,Antonio Nariño,No,NA,elcarnal.com.co
329,31413,Andrés Exprés Caseta de Luxe,Centro Comercial Iserra 100 Transversal 55 No 98 A - 96 Local 324 - 325,863 78 80 -,Barrios Unidos,NR,NA,www.andrescarnederes.com
217,26364,MC Donalds Bulevar Niza,Avenida Carrera 58 No 127 - 59 Local  2128/2129,613 46 65 - 313 870 63 40,Suba,No,NA,www.mcdonalds.com.co
21,14397,La Cigale,Calle 69 A No 4 - 93,249 68 39 - 212 77 85,Chapinero,Sí,249 68 39,www.lacigale.com.co
382,34308,Restaurante Donde Chucho 93,Calle 93 B No 13 - 61 Local 2,300 08 58 -,Chapinero,NR,NA,NR
118,19082,Andrés D.C,Calle 82 No 12 - 21,863 78 80 -,Chapinero,No,NA,www.andrescarnederes.com
156,22611,Café Illy 87,Carrera 15 No 87 - 98,236 67 85 -,Chapinero,NR,NA,www.illy.com
109,18235,Frisby G17,Calle 71 No 9 -  21 / 39 LC 1  Plazoleta Quinta de Camacho,01 800 939 000 -,Chapinero,Sí,01 800 939 000,www.frisby.com.co
